Comment,Designator,Footprint,LCSC
0.1uF,"C1,C2",C_0603_1608Metric,C14663
1uF,"C10,C11,C12,C13,C15,C17,C3,C4,C6,C7,C8,C9",C_0603_1608Metric,C15849
4.7uF,C5,C_0603_1608Metric,C19666
2.2uF,"C14,C16",C_0603_1608Metric,C23630
FH12-30S-0.5SH(55),J1,JUSHUO AFC24-S30FIC-00,C262294
SS0530_R1_00001,D1,D_SOD-123,C8598
